retriever,P@5,R@5,F1@5,nDCG@5,P@10,R@10,F1@10,nDCG@10,MRR,MAP
hybrid_rrf,0.2533,0.2533,0.2533,0.309,0.1667,0.3333,0.2222,0.3073,0.3,0.2838
tfidf,0.1467,0.1467,0.1467,0.3113,0.12,0.24,0.16,0.3056,0.2711,0.1141
bm25,0.08,0.08,0.08,0.1556,0.0667,0.1333,0.0889,0.1806,0.1311,0.052
embedding_specter2_base,0.08,0.08,0.08,0.2066,0.0733,0.1467,0.0978,0.242,0.2095,0.0789
section_aware,0.1067,0.1067,0.1067,0.2462,0.0733,0.1467,0.0978,0.2367,0.2333,0.1134
hybrid_ensemble,0.2,0.2,0.2,0.319,0.1467,0.2933,0.1956,0.323,0.2689,0.1789
