tfidf,bm25,embedding,section_aware,P@5_v1,R@5_v1,nDCG@5_v1,MAP_v1,P@5_v2,R@5_v2,nDCG@5_v2,MAP_v2
0.85,0.0,0.0,0.05,0.8400000000000001,0.8400000000000001,0.8950717896884791,0.8631904761904762,0.8400000000000001,0.6811904761904761,0.8950717896884791,0.7454761904761904
0.75,0.15,0.0,0.0,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.8567936507936509,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7237619047619048
0.85,0.05,0.0,0.0,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7213129251700681
0.8,0.05,0.05,0.0,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7213129251700681
0.8,0.05,0.0,0.05,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7213129251700681
0.75,0.1,0.0,0.05,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7213129251700681
0.75,0.05,0.0,0.1,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7189319727891157
0.8,0.1,0.0,0.0,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7189319727891157
0.7,0.1,0.05,0.05,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7189319727891157
0.75,0.1,0.05,0.0,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7189319727891157
0.7,0.1,0.0,0.1,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7189319727891157
0.75,0.05,0.05,0.05,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7189319727891157
0.7,0.1,0.1,0.0,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.855761904761905,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7170272108843537
0.9,0.0,0.0,0.0,0.8400000000000001,0.8400000000000001,0.8950717896884791,0.8631904761904762,0.8400000000000001,0.6811904761904761,0.8950717896884791,0.7254761904761905
0.65,0.1,0.05,0.1,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.852190476190476,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7144761904761905
0.65,0.1,0.1,0.05,0.8400000000000001,0.8400000000000001,0.9046011463072707,0.852190476190476,0.8400000000000001,0.6926190476190476,0.9046011463072707,0.7144761904761905
0.7,0.05,0.15,0.0,0.8,0.8,0.9046011463072707,0.8490952380952381,0.8,0.6676190476190476,0.9046011463072707,0.7147653061224489
0.75,0.05,0.1,0.0,0.8,0.8,0.9046011463072707,0.8490952380952381,0.8,0.6676190476190476,0.9046011463072707,0.7147653061224489
0.7,0.2,0.0,0.0,0.8,0.8,0.9046011463072707,0.8479047619047618,0.8,0.6526190476190475,0.9046011463072707,0.7151904761904762
0.8,0.0,0.05,0.05,0.8400000000000001,0.8400000000000001,0.8950717896884791,0.8604126984126985,0.8400000000000001,0.6811904761904761,0.8950717896884791,0.7203174603174604
