retriever,P@5_v1,P@5_v2,P@5_delta,R@5_v1,R@5_v2,R@5_delta,nDCG@5_v1,nDCG@5_v2,nDCG@5_delta,MAP_v1,MAP_v2,MAP_delta,MRR_v1,MRR_v2,MRR_delta
hybrid_rrf,0.36,0.36,0.0,0.36,0.2741,-0.0859,0.7074,0.7074,0.0,0.3646,0.2822,-0.0824,0.725,0.725,0.0
tfidf,0.84,0.84,0.0,0.84,0.6812,-0.1588,0.8951,0.8951,0.0,0.8632,0.7255,-0.1377,0.8667,0.8667,0.0
bm25,0.6,0.6,0.0,0.6,0.4845,-0.1155,0.8794,0.8794,0.0,0.5721,0.4477,-0.1244,0.9,0.9,0.0
embedding_specter2_base,0.24,0.24,0.0,0.24,0.1836,-0.0564,0.7156,0.7156,0.0,0.2084,0.1657,-0.0427,0.7222,0.7286,0.0064
section_aware,0.24,0.32,0.08,0.24,0.2569,0.0169,0.6564,0.8564,0.2,0.1933,0.2251,0.0318,0.6,0.8,0.2
hybrid_ensemble,0.68,0.68,0.0,0.68,0.5495,-0.1305,0.8757,0.8757,0.0,0.6881,0.5616,-0.1265,0.85,0.85,0.0
