tfidf,bm25,embedding,section_aware,P@5_v1,P@5_v2,R@5_v1,R@5_v2,nDCG@5_v1,nDCG@5_v2,MAP_v1,MAP_v2,MRR_v1,MRR_v2
0.0,0.0,0.0,0.9,0.24000000000000005,0.32,0.24000000000000005,0.25690476190476186,0.6563701366757181,0.8563701366757182,0.19333333333333336,0.22507936507936507,0.6,0.8
0.0,0.0,0.05,0.85,0.24000000000000005,0.32,0.24000000000000005,0.25690476190476186,0.6563701366757181,0.8563701366757182,0.195,0.2232936507936508,0.6,0.8
0.0,0.0,0.1,0.8,0.24000000000000005,0.32,0.24000000000000005,0.25690476190476186,0.6509960547150591,0.7771820054293507,0.19314285714285714,0.20441269841269843,0.6,0.7
0.0,0.0,0.15,0.75,0.2,0.27999999999999997,0.2,0.21690476190476188,0.6523719014285831,0.7785578521428747,0.18857142857142856,0.19845238095238096,0.6,0.7
0.0,0.0,0.2,0.7,0.2,0.27999999999999997,0.2,0.21690476190476188,0.6523719014285831,0.7785578521428747,0.18857142857142856,0.19845238095238096,0.6,0.7
0.0,0.0,0.25,0.65,0.2,0.27999999999999997,0.2,0.21690476190476188,0.7261859507142916,0.8523719014285831,0.20857142857142855,0.21845238095238093,0.7,0.8
0.0,0.0,0.3,0.6,0.2,0.27999999999999997,0.2,0.21690476190476188,0.7261859507142916,0.8523719014285831,0.20388888888888887,0.20162698412698413,0.7,0.8
0.0,0.0,0.35,0.55,0.2,0.27999999999999997,0.2,0.21690476190476188,0.7261859507142916,0.8523719014285831,0.206031746031746,0.2034126984126984,0.7,0.8
0.0,0.0,0.4,0.5,0.2,0.27999999999999997,0.2,0.21690476190476188,0.7261859507142916,0.8196795474121255,0.19714285714285712,0.18271825396825397,0.7,0.7666666666666667
0.0,0.0,0.45,0.45,0.2,0.24,0.2,0.19190476190476188,0.7261859507142916,0.8261859507142916,0.20914285714285713,0.19113492063492063,0.72,0.7666666666666667
0.0,0.0,0.5,0.4,0.2,0.24,0.2,0.19190476190476188,0.7261859507142916,0.8261859507142916,0.21244444444444444,0.19187566137566137,0.7222222222222222,0.7666666666666667
0.0,0.0,0.55,0.35,0.2,0.24,0.2,0.19190476190476188,0.7261859507142916,0.8123212623289702,0.20444444444444448,0.1810978835978836,0.7222222222222222,0.75
0.0,0.0,0.6,0.3,0.2,0.24,0.2,0.19190476190476188,0.7261859507142916,0.8123212623289702,0.20444444444444448,0.1810978835978836,0.7222222222222222,0.75
0.0,0.0,0.65,0.25,0.2,0.24,0.2,0.19190476190476188,0.7261859507142916,0.8123212623289702,0.20444444444444448,0.17792328042328043,0.7222222222222222,0.75
0.0,0.0,0.7,0.2,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7155664366194865,0.8017017482341651,0.2084444444444445,0.18042328042328043,0.7222222222222222,0.75
0.0,0.0,0.75,0.15,0.24,0.27999999999999997,0.24,0.21690476190476188,0.7155664366194865,0.8017017482341651,0.20800000000000002,0.17968253968253967,0.72,0.75
0.0,0.0,0.8,0.1,0.24,0.24,0.24,0.18357142857142858,0.7155664366194865,0.7155664366194865,0.20800000000000002,0.1657936507936508,0.72,0.7333333333333333
0.0,0.0,0.85,0.05,0.24,0.24,0.24,0.18357142857142858,0.7196795474121254,0.7196795474121254,0.2144444444444445,0.16949074074074072,0.7222222222222222,0.7285714285714285
0.0,0.0,0.9,0.0,0.24,0.24,0.24,0.18357142857142858,0.7155664366194865,0.7155664366194865,0.2084444444444445,0.16574074074074074,0.7222222222222222,0.7285714285714285
0.0,0.05,0.0,0.85,0.24000000000000005,0.32,0.24000000000000005,0.25690476190476186,0.7386852807234542,0.9386852807234541,0.2518095238095238,0.28048214285714285,0.7,0.9
0.0,0.05,0.05,0.8,0.24000000000000005,0.32,0.24000000000000005,0.25690476190476186,0.7386852807234542,0.9386852807234541,0.23580952380952383,0.26374603174603173,0.7,0.9
0.0,0.05,0.1,0.75,0.24000000000000005,0.32,0.24000000000000005,0.25690476190476186,0.7386852807234542,0.9386852807234541,0.24,0.26607142857142857,0.7,0.9
0.0,0.05,0.15,0.7,0.2,0.27999999999999997,0.2,0.21690476190476188,0.7261859507142916,0.8523719014285831,0.22666666666666666,0.23607142857142857,0.7,0.8
